,0,1
301,Baldwin (D-WI),Yea
302,Barrasso (R-WY),Yea
303,Bennet (D-CO),Not Voting
304,Blackburn (R-TN),Yea
305,Blumenthal (D-CT),Yea
306,Blunt (R-MO),Yea
307,Booker (D-NJ),Not Voting
308,Boozman (R-AR),Yea
309,Braun (R-IN),Yea
310,Brown (D-OH),Yea
311,Burr (R-NC),Nay
312,Cantwell (D-WA),Yea
313,Capito (R-WV),Yea
314,Cardin (D-MD),Yea
315,Carper (D-DE),Yea
316,Casey (D-PA),Yea
317,Cassidy (R-LA),Yea
318,Collins (R-ME),Yea
319,Coons (D-DE),Yea
320,Cornyn (R-TX),Yea
321,Cortez Masto (D-NV),Yea
322,Cotton (R-AR),Yea
323,Cramer (R-ND),Yea
324,Crapo (R-ID),Yea
325,Cruz (R-TX),Yea
326,Daines (R-MT),Yea
327,Duckworth (D-IL),Yea
328,Durbin (D-IL),Yea
329,Enzi (R-WY),Yea
330,Ernst (R-IA),Yea
331,Feinstein (D-CA),Yea
332,Fischer (R-NE),Yea
333,Gardner (R-CO),Yea
334,Gillibrand (D-NY),Yea
335,Graham (R-SC),Yea
336,Grassley (R-IA),Yea
337,Harris (D-CA),Not Voting
338,Hassan (D-NH),Yea
339,Hawley (R-MO),Yea
340,Heinrich (D-NM),Yea
341,Hirono (D-HI),Yea
342,Hoeven (R-ND),Yea
343,Hyde-Smith (R-MS),Yea
344,Inhofe (R-OK),Yea
345,Isakson (R-GA),Yea
346,Johnson (R-WI),Yea
347,Jones (D-AL),Yea
348,Kaine (D-VA),Yea
349,Kennedy (R-LA),Yea
350,King (I-ME),Yea
351,Klobuchar (D-MN),Not Voting
352,Lankford (R-OK),Yea
353,Leahy (D-VT),Yea
354,Lee (R-UT),Yea
355,Manchin (D-WV),Yea
356,Markey (D-MA),Yea
357,McConnell (R-KY),Yea
358,McSally (R-AZ),Yea
359,Menendez (D-NJ),Yea
360,Merkley (D-OR),Yea
361,Moran (R-KS),Yea
362,Murkowski (R-AK),Yea
363,Murphy (D-CT),Yea
364,Murray (D-WA),Yea
365,Paul (R-KY),Yea
366,Perdue (R-GA),Yea
367,Peters (D-MI),Yea
368,Portman (R-OH),Yea
369,Reed (D-RI),Yea
370,Risch (R-ID),Yea
371,Roberts (R-KS),Yea
372,Romney (R-UT),Yea
373,Rosen (D-NV),Yea
374,Rounds (R-SD),Yea
375,Rubio (R-FL),Yea
376,Sanders (I-VT),Not Voting
377,Sasse (R-NE),Yea
378,Schatz (D-HI),Yea
379,Schumer (D-NY),Yea
380,Scott (R-FL),Nay
381,Scott (R-SC),Yea
382,Shaheen (D-NH),Yea
383,Shelby (R-AL),Yea
384,Sinema (D-AZ),Yea
385,Smith (D-MN),Yea
386,Stabenow (D-MI),Yea
387,Sullivan (R-AK),Yea
388,Tester (D-MT),Yea
389,Thune (R-SD),Yea
390,Tillis (R-NC),Yea
391,Toomey (R-PA),Yea
392,Udall (D-NM),Yea
393,Van Hollen (D-MD),Yea
394,Warner (D-VA),Not Voting
395,Warren (D-MA),Not Voting
396,Whitehouse (D-RI),Yea
397,Wicker (R-MS),Yea
398,Wyden (D-OR),Yea
399,Young (R-IN),Yea
400,Alexander (R-TN),Nay
401,Baldwin (D-WI),Yea
402,Barrasso (R-WY),Nay
403,Bennet (D-CO),Not Voting
404,Blackburn (R-TN),Nay
405,Blumenthal (D-CT),Yea
406,Blunt (R-MO),Nay
407,Booker (D-NJ),Not Voting
408,Boozman (R-AR),Nay
409,Braun (R-IN),Nay
410,Brown (D-OH),Yea
411,Burr (R-NC),Nay
412,Cantwell (D-WA),Yea
413,Capito (R-WV),Nay
414,Cardin (D-MD),Yea
415,Carper (D-DE),Yea
416,Casey (D-PA),Yea
417,Cassidy (R-LA),Nay
418,Collins (R-ME),Yea
419,Coons (D-DE),Yea
420,Cornyn (R-TX),Nay
421,Cortez Masto (D-NV),Yea
422,Cotton (R-AR),Nay
423,Cramer (R-ND),Nay
424,Crapo (R-ID),Nay
425,Cruz (R-TX),Nay
426,Daines (R-MT),Nay
427,Duckworth (D-IL),Yea
428,Durbin (D-IL),Yea
429,Enzi (R-WY),Nay
430,Ernst (R-IA),Nay
431,Feinstein (D-CA),Yea
432,Fischer (R-NE),Nay
433,Gardner (R-CO),Nay
434,Gillibrand (D-NY),Yea
435,Graham (R-SC),Nay
436,Grassley (R-IA),Nay
437,Harris (D-CA),Not Voting
438,Hassan (D-NH),Yea
439,Hawley (R-MO),Nay
440,Heinrich (D-NM),Yea
441,Hirono (D-HI),Yea
442,Hoeven (R-ND),Nay
443,Hyde-Smith (R-MS),Nay
444,Inhofe (R-OK),Nay
445,Isakson (R-GA),Nay
446,Johnson (R-WI),Nay
447,Jones (D-AL),Yea
448,Kaine (D-VA),Yea
449,Kennedy (R-LA),Nay
450,King (I-ME),Yea
451,Klobuchar (D-MN),Yea
452,Lankford (R-OK),Nay
453,Leahy (D-VT),Yea
454,Lee (R-UT),Nay
455,Manchin (D-WV),Yea
456,Markey (D-MA),Yea
457,McConnell (R-KY),Nay
458,McSally (R-AZ),Nay
459,Menendez (D-NJ),Yea
460,Merkley (D-OR),Yea
461,Moran (R-KS),Nay
462,Murkowski (R-AK),Nay
463,Murphy (D-CT),Yea
464,Murray (D-WA),Yea
465,Paul (R-KY),Nay
466,Perdue (R-GA),Nay
467,Peters (D-MI),Yea
468,Portman (R-OH),Nay
469,Reed (D-RI),Yea
470,Risch (R-ID),Nay
471,Roberts (R-KS),Nay
472,Romney (R-UT),Nay
473,Rosen (D-NV),Yea
474,Rounds (R-SD),Nay
475,Rubio (R-FL),Nay
476,Sanders (I-VT),Not Voting
477,Sasse (R-NE),Nay
478,Schatz (D-HI),Yea
479,Schumer (D-NY),Yea
480,Scott (R-FL),Nay
481,Scott (R-SC),Nay
482,Shaheen (D-NH),Yea
483,Shelby (R-AL),Nay
484,Sinema (D-AZ),Yea
485,Smith (D-MN),Yea
486,Stabenow (D-MI),Yea
487,Sullivan (R-AK),Nay
488,Tester (D-MT),Yea
489,Thune (R-SD),Nay
490,Tillis (R-NC),Nay
491,Toomey (R-PA),Nay
492,Udall (D-NM),Yea
493,Van Hollen (D-MD),Yea
494,Warner (D-VA),Yea
495,Warren (D-MA),Not Voting
496,Whitehouse (D-RI),Yea
497,Wicker (R-MS),Nay
498,Wyden (D-OR),Yea
499,Young (R-IN),Nay
500,Alexander (R-TN),Nay
501,Baldwin (D-WI),Yea
502,Barrasso (R-WY),Nay
503,Bennet (D-CO),Nay
504,Blackburn (R-TN),Nay
505,Blumenthal (D-CT),Yea
506,Blunt (R-MO),Nay
507,Booker (D-NJ),Yea
508,Boozman (R-AR),Nay
509,Braun (R-IN),Nay
510,Brown (D-OH),Yea
511,Burr (R-NC),Nay
512,Cantwell (D-WA),Yea
513,Capito (R-WV),Nay
514,Cardin (D-MD),Yea
515,Carper (D-DE),Yea
516,Casey (D-PA),Yea
517,Cassidy (R-LA),Nay
518,Collins (R-ME),Nay
519,Coons (D-DE),Yea
520,Cornyn (R-TX),Nay
