Senator Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
KS Jerry Moran,0,0,0,0,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,0,2,2,1,1,0,1,0,0,0,0,2,0,0,2,0,0,0,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KS Pat Roberts,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
KY Mitch McConnell,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
KY Rand Paul,2,2,2,0,2,0,0,2,0,2,2,2,0,1,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,0,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Bill Cassidy,0,2,1,0,2,2,1,2,0,0,2,0,2,1,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LA John Kennedy,0,2,1,0,2,2,2,2,0,0,2,0,2,2,0,0,0,1,2,2,0,0,2,0,2,2,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,2,2,2,0,0,0,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MA Edward J. Markey,2,2,1,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,1,2,2,2,2,0,0,2,0,1,1,2,0,0,1,1,0,2,2,0,0,0,0,1,1,2,2,2,2,2,2,2,2,1
MA Elizabeth Warren,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,2,2,2,2,0,0,2,0,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MD Benjamin L. Cardin,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MD Chris Van Hollen,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,2,0,2,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
ME Angus S. King Jr.,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0
ME Susan M. Collins,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
MI Debbie Stabenow,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,1,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
MI Gary C. Peters,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,2,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
MN Amy Klobuchar,1,1,1,1,0,0,1,1,2,2,0,0,0,1,2,0,2,2,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MN Tina Smith,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MO Josh Hawley,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MO Roy Blunt,0,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MS Cindy Hyde-Smith,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,1,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MS Roger F. Wicker,0,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
MT Jon Tester,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,1,1,1,2,1,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
MT Steve Daines,0,0,1,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
NC Richard Burr,0,0,0,2,2,2,2,2,1,1,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,1,0,0,0,0,2,0,0,2,1,1,0,1,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
NC Thom Tillis,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
ND John Hoeven,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
ND Kevin Cramer,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
NE Ben Sasse,0,0,1,0,2,2,2,2,0,0,2,0,2,2,0,0,0,1,2,2,0,0,2,0,2,2,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
NE Deb Fischer,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
NH Jeanne Shaheen,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,2,0,0,2,2,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
NH Margaret Wood Hassan,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
NJ Cory A. Booker,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,2,2,0,0,0,1,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,1,2,2,2,2,0,0,2,0,2,0,2,0,0,1,1,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
NJ Robert Menendez,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
NM Martin Heinrich,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
NM Tom Udall,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
NV Catherine Cortez Masto,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
NV Jacky Rosen,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
NY Charles E. Schumer,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
NY Kirsten E. Gillibrand,2,2,2,0,0,0,0,0,2,2,0,0,0,1,1,1,1,1,1,0,2,0,0,2,3,0,2,0,0,2,2,2,2,1,2,2,0,0,0,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
OH Rob Portman,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
OH Sherrod Brown,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,2,1,2,2,2,0,0,0,2,2,0,0,0,2,2,2,2,2,0,0,2,0,0,0,2,0,2,1,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
OK James Lankford,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
OK James M. Inhofe,0,0,0,0,2,2,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
OR Jeff Merkley,2,0,1,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,2,0,0,2,3,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,0,2,1,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
OR Ron Wyden,2,2,1,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,2,0,0,2,3,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,0,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
PA Patrick J. Toomey,0,2,1,0,2,2,0,2,0,0,2,0,0,2,0,0,0,1,2,2,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,2,0,1,0,2,2,1,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
PA Robert P. Casey Jr.,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
RI Jack Reed,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,2,2,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
RI Sheldon Whitehouse,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1
